datum,km_stand,liter,preis,tankstelle
2018-01-12,26080,34.68,40.51,FE-Trading / Wals-Himmelreich
2018-01-29,26703,30.89,36.11,Shell / Liefering
2018-02-12,27257,28.64,32.62,FE-Trading / Wals-Himmelreich
2018-02-26,27830,31.29,34.86,FE-Trading / Wals-Himmelreich
2018-03-12,28447,33.38,36.02,FE-Trading / Wals-Himmelreich
2018-03-26,29024,28.81,32.5,FE-Trading / Wals-Himmelreich
2018-04-12,29702,33.4,39.51,FE-Trading / Wals-Himmelreich
2018-04-30,30374,32.98,39.18,FE-Trading / Wals-Himmelreich
2018-05-17,30989,29.78,36.66,FE-Trading / Wals-Himmelreich
2018-06-04,31549,26.91,33.8,FE-Trading / Wals-Himmelreich
2018-06-18,32116,30.4,37.51,FE-Trading / Wals-Himmelreich
2018-07-03,32731,29.04,36.07,FE-Trading / Wals-Himmelreich
2018-07-25,33355,30.48,37.86,FE-Trading / Wals-Himmelreich
2018-08-09,34006,33.15,42.03,FE-Trading / Wals-Himmelreich
2018-08-30,34625,31.37,39.78,FE-Trading / Wals-Himmelreich
2018-09-21,35254,33.06,43.77,FE-Trading / Wals-Himmelreich
2018-10-08,35870,30.2,38.75,FE-Trading / Wals-Himmelreich
2018-10-22,36435,30.5,38.7,FE-Trading / Wals-Himmelreich
2018-11-05,36882,21.5,27.65,FE-Trading / Wals-Himmelreich
2018-11-19,37443,28.81,36.53,FE-Trading / Wals-Himmelreich
2018-12-10,38001,29.73,35.32,FE-Trading / Wals-Himmelreich
2018-12-21,38534,29.46,33.97,FE-Trading / Wals-Himmelreich
2019-01-14,39051,28.55,32.29,FE-Trading / Wals-Himmelreich
2019-01-28,39610,30.3,33.78,FE-Trading / Wals-Himmelreich
2019-02-11,40169,29.46,32.67,FE-Trading / Wals-Himmelreich
2019-02-25,40728,29.51,34.17,FE-Trading / Wals-Himmelreich
2019-03-18,41398,35.26,41.5,FE-Trading / Wals-Himmelreich
2019-04-01,41956,28.23,33.57,FE-Trading / Wals-Himmelreich
2019-04-17,42626,33.16,42.25,FE-Trading / Wals-Himmelreich
2019-05-06,43200,29.08,36.96,FE-Trading / Wals-Himmelreich
2019-05-23,43873,35.0,45.92,FE-Trading / Wals-Himmelreich
2019-06-17,44391,26.74,32.73,FE-Trading / Wals-Himmelreich
2019-07-01,44937,28.17,34.51,FE-Trading / Wals-Himmelreich
2019-07-22,45665,37.48,45.43,FE-Trading / Wals-Himmelreich
2019-08-05,46184,24.89,30.39,FE-Trading / Wals-Himmelreich
2019-08-23,46800,30.38,36.79,FE-Trading / Wals-Himmelreich
2019-09-16,47393,30.86,37.31,FE-Trading / Wals-Himmelreich
2019-09-30,47905,25.91,30.86,FE-Trading / Wals-Himmelreich
2019-10-14,48410,26.17,30.57,FE-Trading / Wals-Himmelreich
2019-10-30,49026,32.68,38.86,FE-Trading / Wals-Himmelreich
2019-11-18,49642,31.44,37.51,FE-Trading / Wals-Himmelreich
2019-12-02,50149,26.67,31.15,FE-Trading / Wals-Himmelreich
2019-12-16,50656,25.88,30.05,FE-Trading / Wals-Himmelreich
2020-01-13,51180,28.4,34.73,FE-Trading / Wals-Himmelreich
2020-01-28,51739,29.21,34.5,FE-Trading / Wals-Himmelreich
2020-02-10,52196,27.14,30.91,FE-Trading / Wals-Himmelreich
2020-02-24,52699,24.82,29.01,FE-Trading / Wals-Himmelreich
2020-03-13,53202,28.48,29.85,FE-Trading / Wals-Himmelreich
2020-08-24,53769,29.42,29.83,FE-Trading / Wals-Himmelreich
2021-01-18,54185,23.8,26.04,FE-Trading / Wals-Himmelreich
2021-07-06,54733,29.92,37.22,FE-Trading / Wals-Himmelreich
2021-08-02,55296,27.86,34.71,FE-Trading / Wals-Himmelreich
2021-08-24,55801,26.12,33.12,FE-Trading / Wals-Himmelreich
2021-10-04,56424,35.82,45.78,FE-Trading / Wals-Himmelreich
2021-10-27,56975,30.71,41.3,FE-Trading / Wals-Himmelreich
2021-11-22,57442,24.31,34.02,Leikermoser / Anif
2021-12-13,57933,26.74,36.21,Jet / Alpenstraße Salzburg
2021-12-22,58380,25.96,35.64,Jet / Alpenstraße Salzburg
2022-01-03,58659,15.5,19.89,Jet / Alpenstraße Salzburg
2022-01-17,59077,24.15,32.55,Jet / Alpenstraße Salzburg
2022-01-31,59465,22.08,29.96,Jet / Alpenstraße Salzburg
2022-02-15,60038,32.06,46.13,Jet / Alpenstraße Salzburg
2022-02-28,60496,25.52,37.49,Jet / Alpenstraße Salzburg
2022-03-14,61000,26.29,49.74,Jet / Alpenstraße Salzburg
2022-03-28,61516,26.67,46.38,Jet / Alpenstraße Salzburg
2022-04-11,61975,24.95,37.85,FE-Trading / Anif
2022-04-25,62397,21.51,33.66,FE-Trading / Anif
2022-05-09,62921,25.55,41.98,Jet / Alpenstraße Salzburg
2022-05-23,63344,22.93,39.32,Jet / Alpenstraße Salzburg
2022-06-13,63980,32.84,64.76,FE-Trading / Anif
2022-07-01,64581,26.98,52.31,Globus Freilassing
2022-07-18,65094,27.42,51.8,Globus Freilassing
2022-08-01,65580,23.44,43.34,Globus Freilassing
2022-08-29,66091,22.24,37.34,Jet / Alpenstraße Salzburg
2022-09-12,66582,23.78,41.0,Jet / Alpenstraße Salzburg
2022-09-26,67059,16.28,27.09,Jet / Alpenstraße Salzburg
